# Abrufzeitpunkt: 2025-11-25T14:04:18.088537
# Schlagworte: Statistisches Bundesamt, Destatis, Bundesstatistik, Statistisches Landesamt, Statistische Landesämter, Landesstatistikämter, Landesstatistik, Statistischer Verbund, Föderale Statistik, Amtliche Statistik, Datenpolitik, Statistik, Bundesstatistikgesetz, BStatG, Forschungsdatengesetz, Registermodernisierung, Data Act, Data Governance, Data-Governance, Data Space, Datenschutz-Grundverordnung, DSGVO, Statistikgesetz, Statistikregistergesetz, Mikrozensusgesetz, Agrarstatistikgesetz, Bevölkerungsstatistikgesetz, Umweltstatistikgesetz, Energie- und Umweltstatstikgesetz, Unternehmensregistergesetz, NOOTS, Zensus, Mikrozensus, Unternehmensregister, Bildungsverlaufsregister, Registerdaten, Open Data, Verwaltungsdaten, Datenräume, Bürokratieabbau, Bürokratierückbau, Datenschutz, Dateninfrastruktur, Datenhoheit, Datensouveränität, Datenstrategie, Verwaltungsmodernisierung, Digitalisierung, Evidenzbasiert, Staatsmodernisierung, Modernisierungsagenda, Once Only, Deutschland-Stack, D-Stack, KI, Data Literacy, Geodaten, Desinformation, Scannerdaten, Data Stewardship, Dateninstitut, Datenlabor, Eurostat, Europäisches Statistisches System, BMDS, Forschungsausschuss, Digitalausschuss, Normenkontrollrat, Datenschutzbeauftragte, IT-Planungsrat, Sachverständigenrat zur Begutachtung der gesamtwirtschaftlichen Entwicklung, Sachverständigenrat Wirtschaft, Wirtschaftsweisen, UN Statistical Commission, OECD, Bundeswahlleiterin, Bundeswahlleitung, Bundeswahlöordnung, Bundeswahlgesetz, Wahlprüfung, Wahlrecht, Parteiengesetz, Bundeswahlausschuss, Landeswahlleitung, Wahlstatistik, Landeswahlausschuss, Fünf-Prozent-Hürde, Überhangmandate, Ausgleichsmandate, Sperrklausel, Briefwahl, Wahlwerbung, Wahlsystem
# Ähnlichkeitsgrenzwert: 0.0
Datum,Titel,Link,Quelle,Inhalt
2025-11-25T00:00:00,Ausreichend Kompetenzen im Umgang mit KI-Anwendungen nötig,https://www.bundestag.de/presse/hib/kurzmeldungen-1127804,Heute im Bundestag,"
Berlin: (hib/LBR) Die Bundesregierung trifft alle erforderlichen Maßnahmen für den Gesundheitsschutz ihrer Beschäftigten. Das schreibt sie in der Antwort ([21/2837](https://dserver.bundestag.de/btd/21/028/2102837.pdf)) auf eine Kleine Anfrage ([21/2115](https://dserver.bundestag.de/btd/21/021/2102115.pdf)) der AfD-Fraktion, in der sich die Abgeordneten unter anderem nach Maßnahmen der Regierung gegen negative psychosoziale Folgen für Beschäftigte infolge der Einführung von Künstlicher Intelligenz (KI) im öffentlichen Dienst erkundigt hatte. Das Personal müsse ausreichend Kompetenzen im Umgang mit KI-Anwendungen besitzen, schreibt die Bundesregierung weiter. Es sei Aufgabe der jeweiligen Behörde, die Kompetenz im Bezug auf dienstlich verwendete KI-Systeme sicherzustellen.

In der Antwort verweist die Regierung weiter darauf, dass die am 1. August 2024 in Kraft getretene KI-Verordnung umfassende Regeln für die Entwicklung und den Einsatz von KI aufstelle, wodurch die Einhaltung der Grundrechte und Anforderungen an KI-Systeme und KI-Modelle gewährleistet würden. Diese Anforderungen setze die Bundesregierung um. Hinsichtlich haftungsrechtlicher Fragen gebe es keine gesonderte Regelung für KI, schreibt die Bundesregierung. Derzeit werde allerdings das Produkthaftungsgesetz angepasst und somit den in der neuen EU-Produkthaftungsrichtlinie genannten Anforderungen, die sich auch auf den Einsatz von KI beziehen, nachgekommen.

Auf die Frage nach konkreten Tätigkeiten in der Ministerien, die automatisiert oder teilautomatisiert durch KI erledigt werden können, führt die Bundesregierung den Bereich der Textverarbeitung auf. So helfe das KI-System KIPITZ, das das ITZBund entwickelt habe, unter anderem dabei, Dokumente zusammenzufassen, mit Wissensquellen zu chatten, Audiodateien zu transkribieren oder Texte zu übersetzen. Ein weiteres Beispiel sei die Entwicklung und Bereitstellung einer KI-gestützten Planungs- und Genehmigungsplattform mithilfe derer komplexe Antragsverfahren beschleunigt werden sollen.

Darüber hinaus werde das Digitalministerium den Einsatz agentischer KI in der Verwaltung vorantreiben, geht weiter aus der Antwort hervor. Ziel sei es, durch intelligente Automatisierung echte Entlastung zu schaffen und gleichzeitig der Knappheit an Fachkräften strukturell vorzubeugen. Dazu soll nach Plänen der Bundesregierung ein Agentic AI Hub geschaffen werden, in dem Startups zur Umsetzung agentischer KI-Lösungen für die Verwaltung identifiziert werden und verschiedene Stakeholder kollaborativ mit dem Staat zusammenarbeiten.

"
2025-11-25T00:00:00,Maßnahmen zur Bekämpfung von Gewalt gegen Frauen diskutiert,https://www.bundestag.de/presse/hib/kurzmeldungen-1127772,Heute im Bundestag,"
Berlin: (hib/HAU) Am Vortag des Internationalen Aktionstages „NEIN zu Gewalt an Frauen“ am 25. November 2025 fand am Montag im Ausschuss für Bildung, Familie, Senioren, Frauen und Jugend ein öffentliches Fachgespräch unter dem Titel „Gemeinsam Gewalt gegen Frauen verhindern“ statt. Dabei forderten die geladenen Sachverständigen unter anderem einen zügigen Ausbau von Frauenhausplätzen, die Umsetzung des geplanten Gewaltschutzgesetzes der Bundesregierung, eine stärkere Beachtung der Gefahr durch frauenfeindliche Inhalte im Netz und eine Reform des Sexualstrafrechts entsprechend den Vorgaben der Istanbul-Konvention.

Esther Bierbaum von der Zentralen Informationsstelle Autonomer Frauenhäuser (ZIF) forderte einen Zugang für alle, „der sicher, schnell, unbürokratisch und bedarfsgerecht ist“. Zudem müsse der Zugang zu Frauenhäusern möglichst niedrigschwellig sein. „24 Stunden, 7 Tage die Woche, 365 Tage im Jahr“, sagte Bierbaum. Die Gewährleistung von Schutz und Beratung müsse außerdem den Schutz für alle Frauen beinhalten, einschließlich trans-, intergeschlechtlicher und nicht-binärer Personen sowie auch älterer Frauen und ebenso von Frauen mit Behinderungen.

Besonders berücksichtigt werden müsse dabei eine intersektionale Perspektive im Gewaltschutz, sagte die ZIF-Vertreterin, die zugleich einen zügigen Ausbau von Frauenhausplätzen, orientiert an den Empfehlungen der Istanbul-Konvention, forderte. „Es bedarf an dieser Stelle keiner erneuten Bedarfsanalysen“, betonte sie. Es fehlten schlichtweg Frauenhausplätze.

Bianca Biwer, Bundesgeschäftsführerin beim Opferhilfeverein WEISSER RING, sagte, Gewalt gegen Frauen habe verschiedene Gesichter. Biwer benannte beispielhaft die häusliche Gewalt, Femizide und die digitale Gewalt. Bei der häuslichen Gewalt nenne das „Hellfeld“ 266.000 vom BKA registrierte Fälle im Jahr 2024. Gerade bei häuslicher Gewalt gebe es aber ein gewaltiges Dunkelfeld durch die Beziehung zu den Tätern, durch Scham und die Hürden für Betroffene. Gleichzeitig sei festzustellen, dass Verurteilungen bei Tätern häuslicher Gewalt selten seien und das Strafmaß milde sei.

Ein besonders gravierendes Problem für die betroffenen Frauen sei es auch, dass Familiengerichte im Falle einer Trennung meist urteilten, „dass der Täter regelmäßigen Umgang mit seinen Kindern haben darf“, sagte Biwer. Insofern müsse die Frau weiterhin Kontakt mit dem Kindesvater halten. Die im Gewaltschutzgesetz der Bundesregierung geplante bundesweite elektronische Fußfessel begrüßte sie ebenso wie weitere darin enthaltene Verschärfungen. Der Bundestag sollte der Regelung zustimmen, sagte Biwer.

„Häusliche und geschlechtsspezifische Gewalt gegen Frauen findet mitten unter uns statt“, sagte Sibylle Schreiber vom Verein Frauenhauskoordinierung. Täter seien „Menschen wie unsere Nachbarn, vielleicht der Partner unserer alten Schulfreundin oder der nette Steuerberater“. Dass dies immer noch geschehe, liege in der Verantwortung aller. Habe eine Frau den Mut, sich Schutz und Beratung zu suchen, so werde sie aktuell im Stich gelassen. Sie müsse wochenlang auf einen persönlichen Beratungstermin warten und telefoniere sich die Finger wund, um einen freien Frauenhausplatz in ihrer Nähe zu finden.

Mit der Flucht ins Frauenhaus riskierten Frauen zudem nicht selten das Sorge- und Umgangsrecht für ihre Kinder. Grundsätzlich müsse der Schutz vor Gewalt Vorrang vor Sorge- und Umgangsrechten des gewalttätigen Elternteils haben, forderte Schreiber. „Einschränkungen oder der Ausschluss des Umgangsrechts müssen bei häuslicher Gewalt zukünftig selbstverständlich sein“, sagte sie.

„Jeder Femizid kostet eine Million Euro“, sagte Uwe Stürmer, Polizeipräsident von Ravensburg. Er plädierte dafür, dass man die Mittel, die für den Vollzug verwendet werden, in die Täterarbeit steckt. Es brauche eine stärkere Professionalisierung. „Für mich muss die Rechtsgüterabwegung zwischen dem Schutz des Lebens und den Eingriffen, die den Tätern zugemutet werden können, neu justiert werden“, sagte Stürmer.

Man könne mit kurzfristigen Maßnahmen einiges tun. „Es muss aber das Bewusstsein Platz greifen, dass das Tötungsdelikte sind, die in archaischen Besitzansprüchen ihre Ursache haben, die tief verwurzelt sind“, befand er. Seiner Ansicht nach ließe sich zum Schutz der Opfer viel mehr tun. „als darauf zu vertrauen, dass es gut ausgeht“.

Sina Tonk vom Frauenschutzverein TERRE DES FEMMES forderte eine ganzheitliche Schutz- und Präventionsstrategie, „die ausreichend finanziert ist“. Weiterhin vereinzelt Pflaster auf ein strukturelles Problem dieses Ausmaßes zu kleben, verfehle das Ziel deutlich. „Es vermehrt das Leid von Betroffenen und verursacht jedes Jahr mehr Kosten und Folgekosten.“ Gewaltschutz müsse vor Umgangs- und Sorgerecht gehen, sagte Tonk. Gewalttätigen Vätern müsse der Umgang mit den Kindern sofort entzogen werden.

Die TERRE DES FEMMES-Vertreterin sprach sich auch für eine Reform des Sexualstrafrechts aus. „Nein heißt Nein“ sei richtig und wichtig gewesen, machte sie deutlich. Es müsse aber nun ein Schritt weitergegangen werden und der Grundsatz „Ja heißt Ja“ gesetzlich verankert werden. Dieser notwendige Paradigmenwechsel setze ein klares Zeichen. Einvernehmlicher Sex müsse klar auf einer frei gegebenen, jederzeit widerrufbaren Zustimmung der beteiligten Personen beruhen. „Ein fehlendes Nein ist kein Einverständnis“, machte sie deutlich.

"
2025-11-24T00:00:00,Kontinuierliche Arbeit am IT-Sicherheitsniveau,https://www.bundestag.de/presse/hib/kurzmeldungen-1127700,Heute im Bundestag,"
Berlin: (hib/PK) Datenschutz und IT-Sicherheit spielen auch im Bundesgesundheitsministerium eine wichtige Rolle. Der Schutz der durch die damalige Corona-Warn-App (CWA), die CovPass-App und die CovPassCheck-App verarbeiteten Daten sei der Bundesregierung ein wichtiges Anliegen gewesen, heißt es in der Antwort ([21/2846](https://dserver.bundestag.de/btd/21/028/2102846.pdf)) der Bundesregierung auf eine Kleine Anfrage ([21/2417](https://dserver.bundestag.de/btd/21/024/2102417.pdf)) der AfD-Fraktion.

Daher sei bei der Entwicklung ein besonderes Augenmerk auf technische und organisatorische Aspekte der Datensicherheit gelegt worden. So seien das Bundesamt für die Sicherheit in der Informationstechnik (BSI) und der Bundesbeauftragte für den Datenschutz und die Informationsfreiheit (BfDI) frühzeitig in den Entwicklungs- beziehungsweise Bereitstellungsprozess eingebunden gewesen. Das IT-Sicherheitsniveau im Ministerium werde durch einen kontinuierlichen Verbesserungsprozess aufrechterhalten, heißt es in der Antwort.

"
2025-11-24T00:00:00,Erfolgskontrolle beim Klimaschutzförderprogramm,https://www.bundestag.de/presse/hib/kurzmeldungen-1127660,Heute im Bundestag,"
Berlin: (hib/PK) Die Bundesregierung nimmt in ihrer Antwort ([21/2836](https://dserver.bundestag.de/btd/21/028/2102836.pdf)) auf eine Kleine Anfrage ([21/2596](https://dserver.bundestag.de/btd/21/025/2102596.pdf)) der AfD-Fraktion Stellung zum Förderprogramm für die Internationale Klimaschutzinitiative (IKI). Es seien inzwischen sowohl die IKI-Strategie 2030 als auch eine Wirtschaftlichkeitsuntersuchung und die Weiterentwicklung der Erfolgskontrolle verabschiedet worden, heißt es in der Antwort, in der es auch um Kritik des Bundesrechnungshofes an dem Förderprogramm geht. Die IKI-Strategie wurde demnach im Oktober 2023 veröffentlicht.

Die Wirtschaftlichkeit von Fonds im IKI-Gesamtprogramm wurde den Angaben zufolge im Rahmen der IKI-Wirtschaftlichkeitsuntersuchung überprüft. Im Zuge dessen seien Anpassungen an dem Instrument der Fonds vorgenommen worden, um die Wirtschaftlichkeit und Zielorientierung weiter zu stärken.

Derzeit laufe ein externer Evaluationsauftrag, um die bisher erzielten Wirkungen des Förderinstruments der Fondseinzahlungen, den Beitrag des Förderinstruments zu den IKI-Strategiezielen sowie die Effizienz und Wirtschaftlichkeit des Förderinstruments zu untersuchen.

Weitere Fragestellungen der Evaluierung beträfen mögliche Verbesserungen von Planung und Steuerung des Förderinstruments sowie Strategien der Fondsvorhaben zur Verstetigung ihrer Ergebnisse. Der Abschluss der Evaluation sei für September 2026 geplant.

"
2025-11-24T00:00:00,Bußgelder bei Verstößen gegen EU-Sanktionspakete,https://www.bundestag.de/presse/hib/kurzmeldungen-1127656,Heute im Bundestag,"
Berlin: (hib/NKI) Die Bundesregierung hat eine Verordnung ([21/2879](https://dserver.bundestag.de/btd/21/028/2102879.pdf)) zur Änderung der Außenwirtschaftsverordnung vorgelegt, in der sie um die Herbeiführung der Zustimmung des Deutschen Bundestags bittet.

Die 22. Verordnung zur Änderung der Außenwirtschaftsverordnung (AWV) ist den Angaben zufolge am 1. November 2025 in Kraft getreten und setzt europarechtliche und völkerrechtliche Vorgaben in nationales Recht um, indem sie die Ausfuhrliste für Rüstungsgüter aktualisiert. Außerdem werden Verstöße gegen die mit den jüngeren Sanktionspaketen der Europäischen Union beschlossenen Verbote im Hinblick auf Russland und Belarus, die nicht bereits im Rahmen des Außenwirtschaftsgesetzes strafbewehrt sind, entsprechend den europarechtlichen Vorgaben als Ordnungswidrigkeit eingestuft und bußgeldbewehrt. Anpassungen gibt es auch bei den Bußgeldbewehrungen im Zusammenhang mit den Sanktionsregimen gegen Syrien, Iran und Nordkorea.

Die Änderungen umfassen die Berücksichtigung neuer Rüstungsgüter im Wassenaar-Abkommen, die bereits Eingang in die am 6. März 2025 veröffentlichte Gemeinsame Militärgüterliste der Europäischen Union gefunden haben. Die Mitgliedstaaten der Europäischen Union sind verpflichtet, Sanktionsvorschriften für Verstöße gegen die Verbote zu erlassen.

"
2025-11-21T00:00:00,Cybersicherheit des Bundeswirtschaftsministeriums,https://www.bundestag.de/presse/hib/kurzmeldungen-1127574,Heute im Bundestag,"
Berlin: (hib/NKI) Eine Kleine Anfrage ([21/2406](https://dserver.bundestag.de/btd/21/024/2102406.pdf)) der AfD-Fraktion mit dem Titel „Cybersicherheit und Stellenentwicklung im Bereich IT-Sicherheit im Geschäftsbereich des Bundesministeriums für Wirtschaft und Energie“ kann „nach sorgfältiger Abwägung“ der Bundesregierung „nicht durchgängig vollständig erfolgen“. Das schreibt die Bundesregierung in ihrer Antwort ([21/2844](https://dserver.bundestag.de/btd/21/028/2102844.pdf)) auf die Anfrage der AfD-Abgeordneten.

Die IT-Infrastruktur der Bundesregierung sei jeden Tag Angriffen ausgesetzt. Zur Aufrechterhaltung der Staats- und Regierungsfunktion sei diese Infrastruktur angemessen zu schützen, heißt es in der Antwort. Durch die Veröffentlichung sensibler Informationen wäre die in langjährigen Prozessen erarbeitete Resilienz der Informationstechnik des Bundes erheblich gefährdet. Informationen zu Anzahl, Ort und Ausstattung von Rechenzentren des Bundesministeriums für Wirtschaft und Energie (BMWE), Ergebnissen technischer Sicherheitsüberprüfungen, Anzahl registrierter Sicherheitsvorfälle oder Cyberangriffen, ergriffener und in Planung befindlicher technischer und organisatorischer Maßnahmen gegen Cyberangriffe, der Anzahl von Stellen in der IT-Sicherheit und deren Entwicklung bezögen sich unmittelbar auf die Fähigkeiten der Abwehr von Cybergefährdungen der Bundesbehörden. Ein Bekanntwerden der detaillierten Information würde das Staatswohl gefährden, denn damit würde es etwaigen Angreifern ermöglicht, konkrete Hinweise zu den im BMWE eingesetzten Schutzmaßnahmen zu erhalten.

"
2025-11-21T00:00:00,Umsetzung des EU-Gaspakets im Sommer 2026 geplant,https://www.bundestag.de/presse/hib/kurzmeldungen-1127576,Heute im Bundestag,"
Berlin: (hib/NKI) Die Bundesregierung plant die zügige Umsetzung des - aus Richtlinie (EU) 2024/1788 und Verordnung (EU) 2024/1789 bestehenden - EU-Gas- und Wasserstoff-Binnenmarktpakets. Der Gesetzentwurf befindet sich zurzeit in der regierungsinternen Abstimmung, schreibt die Bundesregierung in ihrer Antwort ([21/2833](https://dserver.bundestag.de/btd/21/028/2102833.pdf)) auf eine Kleine Anfrage ([21/2282](https://dserver.bundestag.de/btd/21/022/2102282.pdf)) der Fraktion Bündnis 90/Die Grünen. Es werde der Abschluss des Gesetzgebungsverfahrens bis zur parlamentarischen Sommerpause 2026 angestrebt.

Die Umsetzungsfrist der Richtlinie laufe bis August 2026. Das sogenannte EU-Gaspaket sieht vor, Gasnetzbetreibern den Rückzug aus der Erdgasversorgung zu ermöglichen und zu erlauben. Mit dem EU-Gas- und Wasserstoff- Binnenmarktpaket sollen im Rahmen einer Novelle des Energiewirtschaftsgesetzes (EnWG) auch weitere energierechtliche Vorschriften umgesetzt werden, heißt es in der Antwort. Die jeweiligen Vorhaben hätten jedoch einen unterschiedlichen Verfahrensstand.

"
2025-11-21T00:00:00,Fragen zum Fachkräfteeinwanderungsgesetz,https://www.bundestag.de/presse/hib/kurzmeldungen-1127536,Heute im Bundestag,"
Berlin: (hib/PK) Das Fachkräfteeinwanderungsgesetz (FEG) ist Thema einer Kleinen Anfrage ([21/2860](https://dserver.bundestag.de/btd/21/028/2102860.pdf)) der Grünen-Fraktion. Die Wirtschaft sei branchenübergreifend auf die Fach- und Arbeitskräfteeinwanderung angewiesen. Das Institut der deutschen Wirtschaft habe im August 2024 prognostiziert, dass 2027 rund 37.000 Stellen im Verkauf unbesetzt bleiben, mehr als 27.000 in der Kinderbetreuung und mehr als 22.000 in der Sozialarbeit und Pädagogik. Auch in der Gesundheits- und Krankenpflege sei mit mehr als 20.000 unbesetzten Stellen zu rechnen, heißt es in der Anfrage.

Die Ampelkoalition habe wichtige Regelungen auf den Weg gebracht, etwa 2023 mit der Reform des Fachkräfteeinwanderungsgesetzes. Dabei seien zahlreiche neue Möglichkeiten geschaffen worden, um Deutschland als Einwanderungsland für Fach- und Arbeitskräfte attraktiver zu machen, Hürden abzubauen und Bürokratie zu reduzieren.

Die Abgeordneten wollen von der Bundesregierung unter anderem wissen, ob die Absenkung des erforderlichen Mindestgehalts zu einem Anstieg der erteilten Aufenthaltstitel Blaue Karte EU geführt hat.

"
2025-11-21T00:00:00,Trotz hoher staatlicher Ausgaben nur Miniwachstum,https://www.bundestag.de/presse/hib/kurzmeldungen-1127520,Heute im Bundestag,"
Berlin: (hib/NKI) Der Sachverständigenrat zur Begutachtung der gesamtwirtschaftlichen Entwicklung fordert die Bundesregierung auf, Gelder aus Sondervermögen nicht weiter für konsumtive Ausgaben zu nutzen. Das geht aus seinem als Unterrichtung ([21/2850](https://dserver.bundestag.de/btd/21/028/2102850.pdf)) vorliegenden Jahresgutachten 2025/26 hervor.

Die deutsche Volkswirtschaft wachse trotz hoher staatlicher Ausgaben nur um 0,9 Prozent und nicht mehr, wie noch im Mai erwartet, um ein Prozent. Vor diesem Hintergrund müsse Deutschland neue wachstums- und sicherheitspolitische Perspektiven entwickeln, schreiben die Experten. Die Chancen, die sich aus dem Sondervermögen für Infrastruktur und Klimaneutralität ergäben, dürften nicht verspielt werden, so der Sachverständigenrat.

Die deutsche Wirtschaft stagniere nach zwei Jahren Rezession im laufenden Jahr. Maue private Investitionen und die schwache Exportwirtschaft belasteten. Die verhaltene Erholung, die sich im Sommer 2025 im verarbeitenden Gewerbe angedeutet habe, sei verpufft, heißt es in dem Gutachten mit dem Titel „Perspektiven für morgen schaffen - Chancen nicht verspielen“.

Als „stark verbesserungsbedürftig“ kritisieren die Wissenschaftler das Vorgehen der Regierung von CDU/CSU und SPD bei den staatlichen Mehrausgaben, die Deutschland aus der Stagnation ziehen sollen. Die aktuell geplanten Ausgaben des Sondervermögens für Infrastruktur und Klimaneutralität (SVIK) würden nur eine geringe positive Wirkung auf das Bruttoinlandsprodukt (BIP) haben. Denn die Mittel würden bisher zu großen Teilen für Umschichtungen im Haushalt und zur Finanzierung konsumtiver Ausgaben genutzt.

"
2025-11-21T00:00:00,Etat 2026: Einzelplan des BMDS steht,https://www.bundestag.de/presse/hib/kurzmeldungen-1127518,Heute im Bundestag,"
Berlin: (hib/SCR) Der Einzelplan des neu geschaffenen Bundesministeriums für Digitales und Staatsmodernisierung sieht im kommenden Jahr Ausgaben in Höhe von 1,36 Milliarden Euro vor. Die im Haushalt 2026 ausgebrachten Verpflichtungsermächtigungen liegen bei 1,78 Milliarden Euro. Das beschloss der Haushaltsausschuss in seiner Bereinigungssitzung zum Bundeshaushalt 2026.

Das Ministerium bewirtschaftet zudem diverse Titel im Sondervermögen Infrastruktur und Klimaneutralität mit Ausgaben in Höhe von 3,11 Milliarden Euro im Jahr 2026 und ausgebrachten Verpflichtungsermächtigungen in Höhe von 2,35 Milliarden Euro. Das Gros der Mittel ist für den Breitbandausbau veranschlagt.

Im Regierungsentwurf war der Einzelplan noch ohne Inhalte. Der nach Vorlage des Regierungsentwurfs für 2026 beschlossene Haushalt 2025 hatte erste Ansätze für das Ministerium beinhaltet, mit Ausgaben in Höhe von 11,19 Millionen Euro. Auf Grundlage der Bereinigungsvorlage des Bundesfinanzministeriums setzte der Ausschuss nun den neuen Zuschnitt und die Zuständigkeiten des Ministeriums um. Dazu wurden etliche Titel aus den Einzelplänen anderer Ministerien umgesetzt, vor allem aus den Einzelplänen 06, 09 und 12.

Die Programmausgaben verteilen sich auf drei Kapitel: „Digitalpolitik, digitale Innovation und Konnektivität“ (Ausgaben: 361,96 Millionen Euro, Verpflichtungsermächtigungen: 336,34 Millionen Euro), „IT-Infrastruktur des Bundes“ (Ausgaben: 956,15 Millionen Euro, Verpflichtungsermächtigungen: 1,17 Milliarden Euro) und „Staatsmodernisierung und Bürokratierückbau“ (Ausgaben: 62,93 Millionen Euro, Verpflichtungsermächtigungen: 108 Millionen Euro).

"
